date,market,Eggs (local),Tomatoes (local),duplicate
2020-11-15,Minbya Main,1700,1700,TRUE
2020-11-15,Na Rat Sar,1200,1200,TRUE
2020-11-15,Paung Toke,1400,1400,TRUE
2020-11-15,Ah Nauk Pyin,1300,1300,TRUE
2020-11-15,Ah Nauk Ywe,1700,1700,TRUE
2020-11-15,Kyaukpyu Main,1200,1200,TRUE
2020-11-15,Kyein Ni Pyin,1700,1700,TRUE
2020-11-15,Nget Chaung,1700,1700,TRUE
2020-11-15,Nyaung Pin Gyi,1300,1300,TRUE
2020-11-15,Rathedaung,1275,1275,TRUE
2020-11-15,Sin Tet Maw,1700,1700,TRUE
2020-11-15,Thet Kay Pyin,1350,1350,TRUE
2020-11-15,Toungup Main,1350,1350,TRUE
2020-11-15,Lahe,1650,1650,TRUE
2020-11-15,Mingalar market,1400,1400,TRUE
2020-11-15,Municipal,1667,1667,TRUE
2020-11-15,Myoma,1575,1575,TRUE
2020-11-15,Mong Pawk,1400,1400,TRUE
2020-11-15,Ban Wai,3000,3000,TRUE
2020-11-15,Lin Haw,1400,1400,TRUE
2020-11-15,Galeng,1500,1500,TRUE
2020-11-15,Lashio Market,1200,1200,TRUE
2020-11-15,Laukkaing,1735,1735,TRUE
2020-11-15,Dein Aw,1400,1400,TRUE
2020-11-15,Nawng Hkit,1400,1400,TRUE
2020-11-15,Kutkai,1300,1300,TRUE
2020-11-15,Mong See,1300,1300,TRUE
2020-11-15,Namhkam Market,1275,1275,TRUE
2020-11-15,Kan Nar Market,1200,1200,TRUE
2020-11-15,Yebyu Market,1266.67,1266.67,TRUE
2020-12-15,Tedim Municipal Market,1358,1358,TRUE
2020-12-15,Tonzang,1430,1430,TRUE
2020-12-15,Hakha Myoma Market,1250,1250,TRUE
2020-12-15,Raldunn Market,1250,1250,TRUE
2020-12-15,Paletwa Myoma Market,2500,2500,TRUE
2020-12-15,Sanbaung,1250,1250,TRUE
2020-12-15,Kanpetlet,1250,1250,TRUE
2020-12-15,Mindat Myoma Market,1000,1000,TRUE
2020-12-15,Bhamo Market,1100,1100,TRUE
2020-12-15,Loijie,1300,1300,TRUE
2020-12-15,Mansi,1250,1250,TRUE
2020-12-15,Momauk,1200,1200,TRUE
2020-12-15,Shwegu,1200,1200,TRUE
2020-12-15,Hpakant Market,1450,1450,TRUE
2020-12-15,Monyin Market,1233,1233,TRUE
2020-12-15,Sadung,1500,1500,TRUE
2020-12-15,Sanpya ward,1500,1500,TRUE
2020-12-15,Tanai Market,1250,1250,TRUE
2020-12-15,Thiri Mingalar Market,1160,1160,TRUE
2020-12-15,Kanthar,1200,1200,TRUE
2020-12-15,Minbu Myo Ma Market,1200,1200,TRUE
2020-12-15,Pakokku Myo Ma Market,1000,1000,TRUE
2020-12-15,Mya Thida,1200,1200,TRUE
2020-12-15,Zay Cho,1200,1200,TRUE
2020-12-15,Bilin Myo Ma Market,1200,1200,TRUE
2020-12-15,Buthidaung,1400,1400,TRUE
2020-12-15,Ka Nyin Tan,1433,1433,TRUE
2020-12-15,Maungdaw,1450,1450,TRUE
2020-12-15,Nyaung Chung,1483,1483,TRUE
2020-12-15,Ahpauk Wa,1275,1275,TRUE
2020-12-15,Kin Seik,1250,1250,TRUE
2020-12-15,Laung Kyet,1300,1300,TRUE
2020-12-15,Minbya Main,1283,1283,TRUE
2020-12-15,Myebon Main,1500,1500,TRUE
2020-12-15,Na Rat Sar,1300,1300,TRUE
2020-12-15,Paung Toke,1300,1300,TRUE
2020-12-15,Ah Nauk Pyin,2000,2000,TRUE
2020-12-15,Kyaukpyu Main,1325,1325,TRUE
2020-12-15,Kyein Ni Pyin,1700,1700,TRUE
2020-12-15,Nget Chaung,1700,1700,TRUE
2020-12-15,Nyaung Pin Gyi,2000,2000,TRUE
2020-12-15,Rathedaung,1250,1250,TRUE
2020-12-15,Say Tha Mar Gyi,1700,1700,TRUE
2020-12-15,Sin Tet Maw,1700,1700,TRUE
2020-12-15,Thae Chaung,1500,1500,TRUE
2020-12-15,Thet Kay Pyin,1250,1250,TRUE
2020-12-15,Toungup Main,1325,1325,TRUE
2020-12-15,Lahe,1650,1650,TRUE
2020-12-15,Mingalar market,1400,1400,TRUE
2020-12-15,Municipal,1667,1667,TRUE
2020-12-15,Myoma,1575,1575,TRUE
2020-12-15,Mong Pawk,1742,1742,TRUE
2020-12-15,Ban Wai,1414,1414,TRUE
2020-12-15,Lin Haw,1358,1358,TRUE
2020-12-15,Lashio Market,1200,1200,TRUE
2020-12-15,Laukkaing,1700,1700,TRUE
2020-12-15,Nawng Hkit,1411,1411,TRUE
2020-12-15,Kutkai,1300,1300,TRUE
2020-12-15,Namhkam Market,1275,1275,TRUE
2020-12-15,Kan Nar Market,1250,1250,TRUE
2020-12-15,Yebyu Market,1233,1233,TRUE
2021-01-15,Tedim Municipal Market,1322,1322,TRUE
2021-01-15,Tonzang,1430,1430,TRUE
2021-01-15,Hakha Myoma Market,1250,1250,TRUE
2021-01-15,Raldunn Market,1250,1250,TRUE
2021-01-15,Paletwa Myoma Market,2000,2000,TRUE
2021-01-15,Sanbaung,1250,1250,TRUE
2021-01-15,Kanpetlet,1250,1250,TRUE
2021-01-15,Mindat Myoma Market,1000,1000,TRUE
2021-01-15,Bhamo Market,1250,1250,TRUE
2021-01-15,Loijie,1300,1300,TRUE
2021-01-15,Man Wein Gyi,1200,1200,TRUE
2021-01-15,Mansi,1250,1250,TRUE
2021-01-15,Momauk,1200,1200,TRUE
2021-01-15,Shwegu,1000,1000,TRUE
2021-01-15,Hpakant Market,1100,1100,TRUE
2021-01-15,Monyin Market,1250,1250,TRUE
2021-01-15,Sadung,1367,1367,TRUE
2021-01-15,Sanpya ward,1400,1400,TRUE
2021-01-15,Tanai Market,1250,1250,TRUE
2021-01-15,Thiri Mingalar Market,1133,1133,TRUE
2021-01-15,Thiri Market,1200,1200,TRUE
2021-01-15,Kanthar,1200,1200,TRUE
2021-01-15,Natmauk Myoma Market,1100,1100,TRUE
2021-01-15,Minbu Myo Ma Market,1000,1000,TRUE
2021-01-15,Pakokku Myo Ma Market,1000,1000,TRUE
2021-01-15,Mya Thida,1200,1200,TRUE
2021-01-15,Zay Cho,1200,1200,TRUE
2021-01-15,Bilin Myo Ma Market,1200,1200,TRUE
2021-01-15,Buthidaung,1250,1250,TRUE
2021-01-15,Ka Nyin Tan,1283,1283,TRUE
2021-01-15,Nyaung Chung,1400,1400,TRUE
2021-01-15,Kin Seik,1250,1250,TRUE
2021-01-15,Laung Kyet,1300,1300,TRUE
2021-01-15,Minbya Main,1200,1200,TRUE
2021-01-15,Myebon Main,1250,1250,TRUE
2021-01-15,Na Rat Sar,1300,1300,TRUE
2021-01-15,Paung Toke,1300,1300,TRUE
2021-01-15,Ah Nauk Pyin,2000,2000,TRUE
2021-01-15,Ah Nauk Ywe,1700,1700,TRUE
2021-01-15,Kyaukpyu Main,1000,1000,TRUE
2021-01-15,Kyein Ni Pyin,1700,1700,TRUE
2021-01-15,Nget Chaung,1700,1700,TRUE
2021-01-15,Nyaung Pin Gyi,2000,2000,TRUE
2021-01-15,Rathedaung,1250,1250,TRUE
2021-01-15,Say Tha Mar Gyi,1250,1250,TRUE
2021-01-15,Sin Tet Maw,1700,1700,TRUE
2021-01-15,Thae Chaung,1475,1475,TRUE
2021-01-15,Thet Kay Pyin,1250,1250,TRUE
2021-01-15,Home shop,1667,1667,TRUE
2021-01-15,Lahe,1650,1650,TRUE
2021-01-15,Mingalar market,1400,1400,TRUE
2021-01-15,Municipal,1667,1667,TRUE
2021-01-15,Myoma,1575,1575,TRUE
2021-01-15,Mong Pawk,2060,2060,TRUE
2021-01-15,Ban Wai,2060,2060,TRUE
2021-01-15,Lin Haw,2060,2060,TRUE
2021-01-15,Namtu,1100,1100,TRUE
2021-01-15,Galeng,1200,1200,TRUE
2021-01-15,Lashio Market,1000,1000,TRUE
2021-01-15,Laukkaing,1643,1643,TRUE
2021-01-15,Dein Aw,2060,2060,TRUE
2021-01-15,Nawng Hkit,2060,2060,TRUE
2021-01-15,Kutkai,1200,1200,TRUE
2021-01-15,Mong See,1500,1500,TRUE
2021-01-15,Nam Hpat Kar,1100,1100,TRUE
2021-01-15,Namhkam Market,1170,1170,TRUE
2021-01-15,Kan Nar Market,1250,1250,TRUE
2021-01-15,Yebyu Market,1200,1200,TRUE
2021-02-15,Tedim Municipal Market,1286,1286,TRUE
2021-02-15,Tonzang,1430,1430,TRUE
2021-02-15,Hakha Myoma Market,1250,1250,TRUE
2021-02-15,Raldunn Market,1250,1250,TRUE
2021-02-15,Paletwa Myoma Market,1429,1429,TRUE
2021-02-15,Sanbaung,1250,1250,TRUE
2021-02-15,Kanpetlet,1250,1250,TRUE
2021-02-15,Mindat Myoma Market,1000,1000,TRUE
2021-02-15,Bhamo Market,1125,1125,TRUE
2021-02-15,Loijie,1500,1500,TRUE
2021-02-15,Man Wein Gyi,1200,1200,TRUE
2021-02-15,Mansi,1250,1250,TRUE
2021-02-15,Momauk,1200,1200,TRUE
2021-02-15,Shwegu,1100,1100,TRUE
2021-02-15,Hpakant Market,1075,1075,TRUE
2021-02-15,Monyin Market,1250,1250,TRUE
2021-02-15,Sadung,1500,1500,TRUE
2021-02-15,Sanpya ward,1400,1400,TRUE
2021-02-15,Tanai Market,1250,1250,TRUE
2021-02-15,Waingmaw Myoma Market,1300,1300,TRUE
2021-02-15,Thiri Mingalar Market,1167,1167,TRUE
2021-02-15,Thiri Market,1300,1300,TRUE
2021-02-15,Kanthar,1200,1200,TRUE
2021-02-15,Natmauk Myoma Market,1100,1100,TRUE
2021-02-15,Minbu Myo Ma Market,1067,1067,TRUE
2021-02-15,Pakokku Myo Ma Market,1000,1000,TRUE
2021-02-15,Mya Thida,1200,1200,TRUE
2021-02-15,Zay Cho,1200,1200,TRUE
2021-02-15,Bilin Myo Ma Market,1200,1200,TRUE
2021-02-15,Buthidaung,1377,1377,TRUE
2021-02-15,Ka Nyin Tan,1500,1500,TRUE
2021-02-15,Maungdaw,1500,1500,TRUE
2021-02-15,Nyaung Chung,1500,1500,TRUE
2021-02-15,Kin Seik,1250,1250,TRUE
2021-02-15,Laung Kyet,1300,1300,TRUE
2021-02-15,Minbya Main,1250,1250,TRUE
2021-02-15,Myebon Main,1450,1450,TRUE
2021-02-15,Na Rat Sar,1200,1200,TRUE
2021-02-15,Paung Toke,1300,1300,TRUE
2021-02-15,Ah Nauk Pyin,2000,2000,TRUE
2021-02-15,Ah Nauk Ywe,1700,1700,TRUE
2021-02-15,Kyaukpyu Main,1200,1200,TRUE
2021-02-15,Kyein Ni Pyin,1700,1700,TRUE
2021-02-15,Nget Chaung,1700,1700,TRUE
2021-02-15,Nyaung Pin Gyi,2000,2000,TRUE
2021-02-15,Rathedaung,1225,1225,TRUE
2021-02-15,Say Tha Mar Gyi,1700,1700,TRUE
2021-02-15,Sin Tet Maw,1700,1700,TRUE
2021-02-15,Thae Chaung,1375,1375,TRUE
2021-02-15,Thet Kay Pyin,1250,1250,TRUE
2021-02-15,Toungup Main,1150,1150,TRUE
2021-02-15,Home shop,1667,1667,TRUE
